Suburb/Town,Postcode,Clinic,Clinic Phone Number,Referral Contact,HHS
1770 (town),4677,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Abercorn,4627,Gayndah (Wide Bay Rural) CYMHS,4192 1149,WBMHSS-RURAL@health.qld.gov.au,Wide Bay
Abergowrie,4850,Ingham CYMHS,4720 3035,TSV-MH-ICMH@health.qld.gov.au,Townsville
Acacia Ridge,4110,Yeronga CYMHS,3848 8011,CHQ-CYMHS-Yeronga@health.qld.gov.au,Children's Health
Adare,4343,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Adavale,4474,Charleville CYMHS,4621 2200,SWHHS-Mental_Health_Services_Charleville@health.qld.gov.au,South West
Adelaide Park,4703,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Advancetown,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Advancetown,4211,Gold Coast Southern (Robina) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Agnes Waters,4677,Bundaberg (Wide Bay North) CYMHS,4150 2600,WBMHSS-Bundaberg@health.qld.gov.au,Wide Bay
Airdmillan,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Airlie Beach,4802,Greater Whitsundays CYMHS (Proserpine),4813 9540,GWMHandATODS@health.qld.gov.au,Mackay & Whitsundays
Airville,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Aitkenvale,4814,Townsville CYMHS,4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Alabama Hill,4820,Charters Towers,4787 0342,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Albany Creek,4035,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Alberta,4702,Banana CYMHS (Biloela),49927045,cqmhsintakebanana@health.qld.gov.au,Central Queensland
Alberton,4207,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Alberton,4207,Gold Coast Central (Southport) CYMHS,56356392,Gold Coast Access Team Fax: 56356450,Gold Coast
Albion,4010,Nundah CYMHS,3146 2300,CHQ-CYMHS-Nundah@health.qld.gov.au,Children's Health
Alderley,4051,North West CYMHS,3335 8888,CHQ-CYMHS-NorthWest@health.qld.gov.au,Children's Health
Aldershot,4650,Maryborough (Wide Bay South) CYMHS,4122 8777,WBMHSSHerveyBay@health.qld.gov.au,Wide Bay
Alexander Headland,4572,Sunshine Coast,5202 9500,SC-MHAS-DaltonDriveHub-Admin@health.qld.gov.au,Sunshine Coast
Alexandra Hills,4161,Bayside CYMHS,3825 6005,BaysideCYMHS_intake@health.qld.gov.au,Metro South
Algester,4115,Mt Gravatt CYMHS,3087 2260,CHQ-CYMHS-MtGravatt@health.qld.gov.au,Children's Health
Alice River,4817,Townsville CYMHS,4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Allan,4370,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Allandale,4310,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
Allenstown,4700,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Allenview,4285,Beenleigh/Beaudesert CYMHS,3089 4100,LCYMHS_Admin@health.qld.gov.au,Metro South
Alligator Creek,4816,Mackay CYMHS,4968 3893,mackay-cymhs@health.qld.gov.au,Mackay & Whitsundays
Alligator Creek,4816,Townsville CYMHS, 4433 9004,TSV-Kirwan-CYMHS-Intake-Officer@health.qld.gov.au,Townsville
Allora,4362,Warwick CYMHS,4660 3901,sd_cymhs@health.qld.gov.au,Darling Downs
Almaden,4871,Mareeba (Tablelands CYMHS) CYMHS,4092 9171,Fax Referral:  40929170,Cairns & Hinterland
Aloomba,4871,Cairns CYMHS,4226 2700,cairnscymhsintake@health.qld.gov.au,Cairns & Hinterland
Alton,4702,St George CYMHS,4620 2265,Referral_St_George@health.qld.gov.au,South West
Alton Downs,4702,Rockhampton CYMHS, 4920 5700,CQMHSCYMHSRockhampton@health.qld.gov.au ,Central Queensland
Alva,4807,Burdekin CYMHS (Ayr),4783 0890,bcmh@health.qld.gov.au,Townsville
Amamoor Creek,4570,Gympie CYMHS,5489 8777,Fax referral:  54898779,Sunshine Coast
Amberley,4306,Ipswich CYMHS,3817 2360,WM_MHSS_CYMHS@health.qld.gov.au,West Moreton
